2200707,718,1,18:24.0,18:24.5,2,2200707,Mozilla/5.0 (compatible; MSIE 10.0; Windows NT 6.2; WOW64; Trident/6.0; MASPJS),ttp://maps.google.com.au/maps?f=q&source=s_q&hl=en&aq=&sll=-38.1,City Moorabool3 Nth,Johnstone Park,10.224.0.14,InfoNet Moorabool Nth / Bus,3003 - Geelong,VIC,3220,,144.360431,-38.147744
2200708,718,1,18:32.8,18:33.0,2,2200708,Mozilla/5.0 (compatible; MSIE 10.0; Windows NT 6.2; WOW64; Trident/6.0; MASPJS),ttp://maps.google.com.au/maps?f=q&source=s_q&hl=en&aq=&sll=-38.1,City Moorabool3 Nth,Johnstone Park,10.224.0.14,InfoNet Moorabool Nth / Bus,3003 - Geelong,VIC,3220,,144.360431,-38.147744
2200711,718,1,18:53.5,18:53.9,2,2200711,Mozilla/5.0 (compatible; MSIE 10.0; Windows NT 6.2; WOW64; Trident/6.0; MASPJS),ttp://maps.google.com.au/maps?f=q&source=s_q&hl=en&aq=&sll=-38.1,City Moorabool3 Nth,Johnstone Park,10.224.0.14,InfoNet Moorabool Nth / Bus,3003 - Geelong,VIC,3220,,144.360431,-38.147744
2200713,718,1,19:03.8,19:04.2,2,2200713,Mozilla/5.0 (compatible; MSIE 10.0; Windows NT 6.2; WOW64; Trident/6.0; MASPJS),ttp://maps.google.com.au/maps?f=q&source=s_q&hl=en&aq=&sll=-38.1,City Moorabool3 Nth,Johnstone Park,10.224.0.14,InfoNet Moorabool Nth / Bus,3003 - Geelong,VIC,3220,,144.360431,-38.147744
2200714,718,1,19:05.8,19:06.6,2,2200714,Mozilla/5.0 (compatible; MSIE 10.0; Windows NT 6.2; WOW64; Trident/6.0; MASPJS),ttp://maps.google.com.au/maps?f=q&source=s_q&hl=en&aq=&sll=-38.1,City Moorabool3 Nth,Johnstone Park,10.224.0.14,InfoNet Moorabool Nth / Bus,3003 - Geelong,VIC,3220,,144.360431,-38.147744
2200716,718,1,19:08.1,19:08.4,2,2200716,Mozilla/5.0 (compatible; MSIE 10.0; Windows NT 6.2; WOW64; Trident/6.0; MASPJS),ttp://maps.google.com.au/maps?f=q&source=s_q&hl=en&aq=&sll=-38.1,City Moorabool3 Nth,Johnstone Park,10.224.0.14,InfoNet Moorabool Nth / Bus,3003 - Geelong,VIC,3220,,144.360431,-38.147744
2200718,718,1,19:15.5,19:16.0,2,2200718,Mozilla/5.0 (compatible; MSIE 10.0; Windows NT 6.2; WOW64; Trident/6.0; MASPJS),ttp://maps.google.com.au/maps?f=q&source=s_q&hl=en&aq=&sll=-38.1,City Moorabool3 Nth,Johnstone Park,10.224.0.14,InfoNet Moorabool Nth / Bus,3003 - Geelong,VIC,3220,,144.360431,-38.147744
2200724,718,1,19:29.4,19:29.6,2,2200724,Mozilla/5.0 (compatible; MSIE 10.0; Windows NT 6.2; WOW64; Trident/6.0; MASPJS),ttp://maps.google.com.au/maps?f=q&source=s_q&hl=en&aq=&sll=-38.1,City Moorabool3 Nth,Johnstone Park,10.224.0.14,InfoNet Moorabool Nth / Bus,3003 - Geelong,VIC,3220,,144.360431,-38.147744
2200728,718,1,19:36.0,19:36.5,2,2200728,Mozilla/5.0 (compatible; MSIE 10.0; Windows NT 6.2; WOW64; Trident/6.0; MASPJS),ttp://maps.google.com.au/maps?f=q&source=s_q&hl=en&aq=&sll=-38.1,City Moorabool3 Nth,Johnstone Park,10.224.0.14,InfoNet Moorabool Nth / Bus,3003 - Geelong,VIC,3220,,144.360431,-38.147744
2200729,718,1,19:36.1,19:36.5,2,2200729,Mozilla/5.0 (compatible; MSIE 10.0; Windows NT 6.2; WOW64; Trident/6.0; MASPJS),ttp://maps.google.com.au/maps?f=q&source=s_q&hl=en&aq=&sll=-38.1,City Moorabool3 Nth,Johnstone Park,10.224.0.14,InfoNet Moorabool Nth / Bus,3003 - Geelong,VIC,3220,,144.360431,-38.147744
2200731,718,1,19:39.1,19:39.3,2,2200731,Mozilla/5.0 (compatible; MSIE 10.0; Windows NT 6.2; WOW64; Trident/6.0; MASPJS),ttp://maps.google.com.au/maps?f=q&source=s_q&hl=en&aq=&sll=-38.1,City Moorabool3 Nth,Johnstone Park,10.224.0.14,InfoNet Moorabool Nth / Bus,3003 - Geelong,VIC,3220,,144.360431,-38.147744
