3882326,718,1,49:22.7,49:22.7,2,3882326,Dalvik/1.6.0 (Linux; U; Android 4.2.2; GT-I9195T Build/JDQ39),http://ads.mp.mydas.mobi/getAd.php5?appsids=47%2C49%2C63%2C62%2C,City Moorabool3 Nth,Johnstone Park,10.224.0.14,InfoNet Moorabool Nth / Bus,3003 - Geelong,VIC,3220,,144.360431,-38.147744
3885765,1035,1,23:42.4,27:40.2,29,3885765,"Mozilla/5.0 (Linux; U; Android 2.3.6; en-au; LG-E400f V10d Build/GRK39F) AppleWebKit/533.1 (KHTML, like Gecko) Version/4.0 Mobil",,Bellarine LLC Courtyard,20 Worden Ct,10.224.0.83,GiNet BLLC Courtyard,Whittington,VIC,32219,,144.394817,-38.178674
3888583,1035,25,13:42.3,13:42.3,1,4411241,"Mozilla/5.0 (Linux; Android 4.2.2; ZTE B795 Build/JDQ39) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/31.0.1650.59 Mobile Safar",,Bellarine LLC Courtyard,20 Worden Ct,10.224.0.83,GiNet BLLC Courtyard,Whittington,VIC,32219,,144.394817,-38.178674
3910079,896,1,52:09.0,52:09.1,2,3910079,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_5) AppleWebKit/537.78.2 (KHTML, like Gecko)",http://www.belmontbusinessassociation.com.au,Belmont-Library-AP,Belmont Library,10.224.0.33,Belmont infoNet Library-H1,Belmont,VIC,3220,,144.343324,-38.174803
3950861,865,1,08:08.7,08:08.8,2,3950861,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_8_5) AppleWebKit/536.30.1 (KHTML, like Gecko)",http://www.apple.com/,City Malop Civic Car Pk,City of Geelong,10.224.0.27,InfoNet - Malop St Civic CarPark Exit,3005 - Geelong,VIC,3220,,144.358766,-38.146805
3951782,896,1,45:11.1,45:11.2,2,3951782,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_4) AppleWebKit/537.77.4 (KHTML, like Gecko)",http://www.belmontbusinessassociation.com.au,Belmont-Library-AP,Belmont Library,10.224.0.33,Belmont infoNet Library-H1,Belmont,VIC,3220,,144.343324,-38.174803
3953225,959,1,12:19.2,12:19.2,1,3953239,Mozilla/5.0 (compatible; MSIE 9.0; Windows Phone OS 7.5; Trident/5.0; IEMobile/9.0; NOKIA; Lumia 610),,Waterfront Carousel OD,"The Carousel, Waterfront",10.224.0.18,infoNet Waterfront Carousel Entrance,3016 - Geelong,VIC,3220,,144.362944,-38.143830
3964550,955,31,27:08.4,27:29.9,5,3971889,"Mozilla/5.0 (iPod; CPU iPhone OS 6_1_6 like Mac OS X) AppleWebKit/536.26 (KHTML, like Gecko) Mobile/10B500",,Waterfront Steampacket Ga,Waterfront,10.224.0.11,infoNet Waterfront Steampacket Gdn Solar ,3024 - Geelong,VIC,3220,,144.363849,-38.144039
3967983,896,1,55:43.1,55:43.2,2,3967983,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_5) AppleWebKit/537.78.2 (KHTML, like Gecko)",http://www.belmontbusinessassociation.com.au,Belmont-Library-AP,Belmont Library,10.224.0.33,Belmont infoNet Library-H1,Belmont,VIC,3220,,144.343324,-38.174803
3969230,865,1,35:59.5,35:59.7,2,3969230,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_8_5) AppleWebKit/536.30.1 (KHTML, like Gecko)",http://www.apple.com/,City Malop Civic Car Pk,City of Geelong,10.224.0.27,InfoNet - Malop St Civic CarPark Exit,3005 - Geelong,VIC,3220,,144.358766,-38.146805
